method,m,pi0,effect_size,alpha,rep,FDR,Power
BH,16,0.75,0.5,0.05,0,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,0,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,0,0.0,0.0
BH,16,0.75,0.5,0.05,1,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,1,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,1,1.0,0.0
BH,16,0.75,0.5,0.05,2,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,2,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,2,0.0,0.0
BH,16,0.75,0.5,0.05,3,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,3,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,3,1.0,0.0
BH,16,0.75,0.5,0.05,4,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,4,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,4,0.0,0.25
BH,16,0.75,0.5,0.05,5,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,5,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,5,0.0,0.0
BH,16,0.75,0.5,0.05,6,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,6,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,6,1.0,0.0
BH,16,0.75,0.5,0.05,7,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,7,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,7,0.0,0.0
BH,16,0.75,0.5,0.05,8,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,8,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,8,0.0,0.25
BH,16,0.75,0.5,0.05,9,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,9,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,9,1.0,0.0
BH,16,0.75,0.5,0.05,10,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,10,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,10,0.0,0.0
BH,16,0.75,0.5,0.05,11,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,11,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,11,1.0,0.0
BH,16,0.75,0.5,0.05,12,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,12,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,12,0.0,0.0
BH,16,0.75,0.5,0.05,13,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,13,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,13,0.0,0.25
BH,16,0.75,0.5,0.05,14,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,14,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,14,1.0,0.0
BH,16,0.75,0.5,0.05,15,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,15,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,15,1.0,0.0
BH,16,0.75,0.5,0.05,16,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,16,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,16,1.0,0.0
BH,16,0.75,0.5,0.05,17,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,17,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,17,1.0,0.0
BH,16,0.75,0.5,0.05,18,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,18,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,18,0.5,0.25
BH,16,0.75,0.5,0.05,19,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,19,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,19,0.0,0.0
BH,16,0.75,0.5,0.05,20,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,20,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,20,0.0,0.0
BH,16,0.75,0.5,0.05,21,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,21,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,21,1.0,0.0
